sku,day,demand,unit_cost,lead_time,lead_time_std
rice_5kg,0,41,60,5,1.0
rice_5kg,1,36,60,5,1.0
rice_5kg,2,43,60,5,1.0
rice_5kg,3,44,60,5,1.0
rice_5kg,4,32,60,5,1.0
rice_5kg,5,35,60,5,1.0
rice_5kg,6,41,60,5,1.0
rice_5kg,7,39,60,5,1.0
rice_5kg,8,40,60,5,1.0
rice_5kg,9,37,60,5,1.0
rice_5kg,10,44,60,5,1.0
rice_5kg,11,43,60,5,1.0
rice_5kg,12,40,60,5,1.0
rice_5kg,13,45,60,5,1.0
rice_5kg,14,42,60,5,1.0
rice_5kg,15,37,60,5,1.0
rice_5kg,16,41,60,5,1.0
rice_5kg,17,36,60,5,1.0
rice_5kg,18,44,60,5,1.0
rice_5kg,19,40,60,5,1.0
rice_5kg,20,39,60,5,1.0
rice_5kg,21,37,60,5,1.0
rice_5kg,22,45,60,5,1.0
rice_5kg,23,39,60,5,1.0
rice_5kg,24,38,60,5,1.0
rice_5kg,25,39,60,5,1.0
rice_5kg,26,42,60,5,1.0
rice_5kg,27,41,60,5,1.0
rice_5kg,28,42,60,5,1.0
rice_5kg,29,42,60,5,1.0
rice_5kg,30,49,60,5,1.0
rice_5kg,31,38,60,5,1.0
rice_5kg,32,38,60,5,1.0
rice_5kg,33,37,60,5,1.0
rice_5kg,34,42,60,5,1.0
rice_5kg,35,45,60,5,1.0
rice_5kg,36,40,60,5,1.0
rice_5kg,37,37,60,5,1.0
rice_5kg,38,37,60,5,1.0
rice_5kg,39,43,60,5,1.0
rice_5kg,40,43,60,5,1.0
rice_5kg,41,42,60,5,1.0
rice_5kg,42,37,60,5,1.0
rice_5kg,43,41,60,5,1.0
rice_5kg,44,40,60,5,1.0
rice_5kg,45,41,60,5,1.0
rice_5kg,46,43,60,5,1.0
rice_5kg,47,41,60,5,1.0
rice_5kg,48,43,60,5,1.0
rice_5kg,49,40,60,5,1.0
rice_5kg,50,41,60,5,1.0
rice_5kg,51,43,60,5,1.0
rice_5kg,52,34,60,5,1.0
rice_5kg,53,39,60,5,1.0
rice_5kg,54,38,60,5,1.0
rice_5kg,55,37,60,5,1.0
rice_5kg,56,39,60,5,1.0
rice_5kg,57,46,60,5,1.0
rice_5kg,58,37,60,5,1.0
rice_5kg,59,44,60,5,1.0
rice_5kg,60,33,60,5,1.0
rice_5kg,61,39,60,5,1.0
rice_5kg,62,41,60,5,1.0
rice_5kg,63,42,60,5,1.0
rice_5kg,64,43,60,5,1.0
rice_5kg,65,43,60,5,1.0
rice_5kg,66,39,60,5,1.0
rice_5kg,67,38,60,5,1.0
rice_5kg,68,43,60,5,1.0
rice_5kg,69,39,60,5,1.0
rice_5kg,70,35,60,5,1.0
rice_5kg,71,35,60,5,1.0
rice_5kg,72,36,60,5,1.0
rice_5kg,73,42,60,5,1.0
rice_5kg,74,41,60,5,1.0
rice_5kg,75,43,60,5,1.0
rice_5kg,76,38,60,5,1.0
rice_5kg,77,41,60,5,1.0
rice_5kg,78,43,60,5,1.0
rice_5kg,79,39,60,5,1.0
rice_5kg,80,42,60,5,1.0
rice_5kg,81,37,60,5,1.0
rice_5kg,82,39,60,5,1.0
rice_5kg,83,38,60,5,1.0
rice_5kg,84,35,60,5,1.0
rice_5kg,85,42,60,5,1.0
rice_5kg,86,38,60,5,1.0
rice_5kg,87,40,60,5,1.0
rice_5kg,88,42,60,5,1.0
rice_5kg,89,42,60,5,1.0
rice_5kg,90,43,60,5,1.0
rice_5kg,91,40,60,5,1.0
rice_5kg,92,38,60,5,1.0
rice_5kg,93,40,60,5,1.0
rice_5kg,94,33,60,5,1.0
rice_5kg,95,34,60,5,1.0
rice_5kg,96,35,60,5,1.0
rice_5kg,97,36,60,5,1.0
rice_5kg,98,42,60,5,1.0
rice_5kg,99,36,60,5,1.0
rice_5kg,100,38,60,5,1.0
rice_5kg,101,45,60,5,1.0
rice_5kg,102,39,60,5,1.0
rice_5kg,103,43,60,5,1.0
rice_5kg,104,36,60,5,1.0
rice_5kg,105,39,60,5,1.0
rice_5kg,106,36,60,5,1.0
rice_5kg,107,39,60,5,1.0
rice_5kg,108,43,60,5,1.0
rice_5kg,109,33,60,5,1.0
rice_5kg,110,42,60,5,1.0
rice_5kg,111,41,60,5,1.0
rice_5kg,112,38,60,5,1.0
rice_5kg,113,34,60,5,1.0
rice_5kg,114,40,60,5,1.0
rice_5kg,115,38,60,5,1.0
rice_5kg,116,41,60,5,1.0
rice_5kg,117,40,60,5,1.0
rice_5kg,118,46,60,5,1.0
rice_5kg,119,39,60,5,1.0
rice_5kg,120,36,60,5,1.0
rice_5kg,121,41,60,5,1.0
rice_5kg,122,41,60,5,1.0
rice_5kg,123,45,60,5,1.0
rice_5kg,124,43,60,5,1.0
rice_5kg,125,41,60,5,1.0
rice_5kg,126,46,60,5,1.0
rice_5kg,127,35,60,5,1.0
rice_5kg,128,37,60,5,1.0
rice_5kg,129,36,60,5,1.0
rice_5kg,130,38,60,5,1.0
rice_5kg,131,34,60,5,1.0
rice_5kg,132,43,60,5,1.0
rice_5kg,133,39,60,5,1.0
rice_5kg,134,34,60,5,1.0
rice_5kg,135,36,60,5,1.0
rice_5kg,136,41,60,5,1.0
rice_5kg,137,43,60,5,1.0
rice_5kg,138,48,60,5,1.0
rice_5kg,139,52,60,5,1.0
rice_5kg,140,42,60,5,1.0
rice_5kg,141,36,60,5,1.0
rice_5kg,142,31,60,5,1.0
rice_5kg,143,41,60,5,1.0
rice_5kg,144,37,60,5,1.0
rice_5kg,145,38,60,5,1.0
rice_5kg,146,38,60,5,1.0
rice_5kg,147,39,60,5,1.0
rice_5kg,148,44,60,5,1.0
rice_5kg,149,41,60,5,1.0
rice_5kg,150,39,60,5,1.0
rice_5kg,151,36,60,5,1.0
rice_5kg,152,33,60,5,1.0
rice_5kg,153,38,60,5,1.0
rice_5kg,154,40,60,5,1.0
rice_5kg,155,47,60,5,1.0
rice_5kg,156,41,60,5,1.0
rice_5kg,157,44,60,5,1.0
rice_5kg,158,38,60,5,1.0
rice_5kg,159,35,60,5,1.0
rice_5kg,160,36,60,5,1.0
rice_5kg,161,37,60,5,1.0
rice_5kg,162,49,60,5,1.0
rice_5kg,163,37,60,5,1.0
rice_5kg,164,43,60,5,1.0
rice_5kg,165,36,60,5,1.0
rice_5kg,166,44,60,5,1.0
rice_5kg,167,42,60,5,1.0
rice_5kg,168,39,60,5,1.0
rice_5kg,169,40,60,5,1.0
rice_5kg,170,37,60,5,1.0
rice_5kg,171,42,60,5,1.0
rice_5kg,172,38,60,5,1.0
rice_5kg,173,35,60,5,1.0
rice_5kg,174,35,60,5,1.0
rice_5kg,175,41,60,5,1.0
rice_5kg,176,46,60,5,1.0
rice_5kg,177,41,60,5,1.0
rice_5kg,178,40,60,5,1.0
rice_5kg,179,41,60,5,1.0
rice_5kg,180,45,60,5,1.0
rice_5kg,181,41,60,5,1.0
rice_5kg,182,38,60,5,1.0
rice_5kg,183,44,60,5,1.0
rice_5kg,184,42,60,5,1.0
rice_5kg,185,46,60,5,1.0
rice_5kg,186,41,60,5,1.0
rice_5kg,187,35,60,5,1.0
rice_5kg,188,35,60,5,1.0
rice_5kg,189,47,60,5,1.0
rice_5kg,190,47,60,5,1.0
rice_5kg,191,39,60,5,1.0
rice_5kg,192,38,60,5,1.0
rice_5kg,193,46,60,5,1.0
rice_5kg,194,36,60,5,1.0
rice_5kg,195,36,60,5,1.0
rice_5kg,196,43,60,5,1.0
rice_5kg,197,38,60,5,1.0
rice_5kg,198,40,60,5,1.0
rice_5kg,199,39,60,5,1.0
rice_5kg,200,41,60,5,1.0
rice_5kg,201,46,60,5,1.0
rice_5kg,202,40,60,5,1.0
rice_5kg,203,43,60,5,1.0
rice_5kg,204,32,60,5,1.0
rice_5kg,205,40,60,5,1.0
rice_5kg,206,37,60,5,1.0
rice_5kg,207,35,60,5,1.0
rice_5kg,208,36,60,5,1.0
rice_5kg,209,39,60,5,1.0
rice_5kg,210,44,60,5,1.0
rice_5kg,211,35,60,5,1.0
rice_5kg,212,40,60,5,1.0
rice_5kg,213,38,60,5,1.0
rice_5kg,214,39,60,5,1.0
rice_5kg,215,44,60,5,1.0
rice_5kg,216,42,60,5,1.0
rice_5kg,217,45,60,5,1.0
rice_5kg,218,39,60,5,1.0
rice_5kg,219,37,60,5,1.0
rice_5kg,220,39,60,5,1.0
rice_5kg,221,41,60,5,1.0
