sku,segment,before_cost,after_cost,before_avg_inv,after_avg_inv,before_stockout_days,after_stockout_days,before_service_level,after_service_level,before_orders,after_orders
cooking_oil_1L,AX,16168.720420341526,5748.526493127389,792.359617188966,185.2791158145146,0,0,1.0,1.0,12,52
rice_5kg,AX,13716.892129855518,5206.018323983756,1002.7948583223878,248.94078211998152,0,0,1.0,1.0,12,48
baby_formula,AX,10654.899230624893,5032.920952562847,131.6220679301934,41.46650587743956,0,2,1.0,0.9945205479452055,13,46
premium_perfume,AZ,6682.616626008632,10744.343815529428,23.646275098517545,38.122514452762985,17,0,0.9534246575342465,1.0,11,17
eid_gift_pack,AZ,7153.309664102081,8240.438489404594,37.916532182398186,41.36612778070793,8,3,0.9780821917808219,0.9917808219178083,12,24
sugar_1kg,AX,7008.267656220677,3364.1600289523585,539.5262525802212,168.93884536796352,0,1,1.0,0.9972602739726028,12,33
wheat_flour_2kg,BX,5727.396569712894,3078.9971556889864,596.2950647401016,208.9769495101121,0,1,1.0,0.9972602739726028,12,31
tea_500g,BX,4580.118904109587,2638.22230720372,414.15342465753406,153.35578860643636,0,0,1.0,1.0,12,28
detergent_1kg,BX,3139.6437005066614,2110.735674250378,201.4881591292925,96.26785410987712,0,0,1.0,1.0,12,21
biscuit_pack,BX,2059.929442672171,1607.7496579912172,287.25989866766747,168.68175599840313,0,0,1.0,1.0,12,17
instant_noodles,BX,2112.321363107524,1422.9851157358412,618.3035466316378,296.5852711120611,0,0,1.0,1.0,12,16
designer_soap,CZ,1520.7623193845,2663.5243435250986,12.735935447551135,26.630958449148846,7,2,0.9808219178082191,0.9945205479452055,10,8
salt_1kg,CX,1787.7995984237186,1273.1260239894295,396.30290861324806,216.09879514831198,0,0,1.0,1.0,12,14
soap_bar,CX,1570.2808632013514,1202.3083975536229,247.79110527303442,145.97918126218698,0,0,1.0,1.0,12,14
spice_mix,CY,1262.2860198911617,1111.7289662437324,106.79039219365738,87.23752808360163,0,0,1.0,1.0,11,11
