sku,avg_demand,std_demand,unit_cost,lead_time,lead_time_std,annual_value,cv,cum_pct,abc,xyz,segment
cooking_oil_1L,30.052054794520547,4.392804730873286,90,4,1.0,987210.0,0.14617319051588565,18.44888531327,A,X,AX
rice_5kg,39.97260273972603,3.7955026985378177,60,5,1.0,875400.0,0.09495260349323532,34.80827612498844,A,X,AX
baby_formula,6.010958904109589,2.665384620815149,350,8,2.0,767900.0,0.44342086900525496,49.15871729967268,A,X,AX
premium_perfume,1.1506849315068493,3.617232993543545,1200,12,4.0,504000.0,3.1435477205795097,58.577420714232986,A,Z,AZ
eid_gift_pack,1.6356164383561644,4.67061688112807,800,10,3.0,477600.0,2.855569784944297,67.50276347374489,A,Z,AZ
sugar_1kg,20.084931506849315,6.2705414358843035,55,4,1.0,403205.0,0.3122012855132684,75.03781964491114,A,X,AX
wheat_flour_2kg,24.235616438356164,5.107561994024737,40,5,1.5,353840.0,0.21074611438153165,81.65034745484769,B,X,BX
tea_500g,17.75890410958904,4.442175353658148,45,6,1.0,291689.99999999994,0.2501379210251811,87.10142205602448,B,X,BX
detergent_1kg,8.273972602739725,2.306585614506759,60,6,1.5,181199.99999999997,0.2787760759254858,90.4876701884021,B,X,BX
biscuit_pack,11.805479452054794,3.8663059296274302,25,5,1.5,107725.0,0.3275009664223746,92.50082460374637,B,X,BX
instant_noodles,22.465753424657535,3.921209556958542,12,3,1.0,98400.0,0.17454164491339852,94.33971431801767,B,X,BX
designer_soap,0.6301369863013698,1.845002526242861,400,15,5.0,92000.0,2.92793879164628,96.05900144924692,C,Z,CZ
salt_1kg,15.126027397260273,1.8928746814532882,15,4,1.0,82815.0,0.12514023885717265,97.60664018590727,C,X,CX
soap_bar,9.92054794520548,1.9783831021647973,20,5,1.0,72420.0,0.19942276506217924,98.9600181646423,C,X,CX
spice_mix,4.3561643835616435,3.2882151501996804,35,7,2.0,55649.99999999999,0.7548418426559015,100.0,C,Y,CY
